	/WW01-PL-25-10-28_SC2-NR
summarized	[('Omicron', 0.9956101053435348), ('BA.2.86* (BA.2.86.X)', 0.0016623031934907208)]
lineages	XEF.3 MZ.5
abundances	0.99561011 0.00166230
resid	4.251112045570569
coverage	48.25602782329532
