	/WW01-SC2-EN-251016-BC-M08760-251105
summarized	[('XFG* (XFG.X)', 0.6384015923620397), ('NB.1.8.1* (NB.1.8.1.X)', 0.30745574276418736), ('Other', 0.052640678806116135), ('BA.2.86* (BA.2.86.X)', 0.0015033295251659835)]
lineages	XFG.3.1 XFG.3.1.4 XFG.3.1.1 XDV.1.5.1 PQ.10.1.2 PQ.10.1.1 NB.1.8.1 PQ.28 PQ.21 PQ.34 PQ.20 PQ.22 PQ.23 PQ.4 PQ.18 PQ.25 PQ.10 PQ.17 PQ.27 PQ.19 PQ.4.4 PQ.17.3 PQ.17.4 PQ.10.1 XFG.3.1.7 NT.1 PQ.15
abundances	0.21228132 0.21228132 0.21228132 0.05264068 0.01532092 0.01532092 0.01532092 0.01532092 0.01532092 0.01532092 0.01532092 0.01532092 0.01532092 0.01532092 0.01532092 0.01532092 0.01532092 0.01532092 0.01532092 0.01532092 0.01532092 0.01532092 0.01532092 0.01532092 0.00155763 0.00150333 0.00103729
resid	13.006029502721924
coverage	62.34491522589707
