	/WW01-SC2-PL-26-03-02-26-019420-JH-SH01109-260312
summarized	[('XFG* (XFG.X)', 0.4189552594666938), ('NB.1.8.1* (NB.1.8.1.X)', 0.2809345761467189), ('Other', 0.18166191071992405), ('BA.2.86* (BA.2.86.X)', 0.11530598526510684)]
lineages	XDK.1.1 PQ.17.11 PQ.32 XFG.1.1.1 XFG.1.1 NT.1 RP.1 XFG.1 XFG.23 XFG.33 XFG XDR
abundances	0.17356769 0.14046729 0.14046729 0.12705870 0.12705870 0.11530599 0.05771057 0.02678182 0.02678182 0.02678182 0.02678182 0.00809422
resid	9.184051055779765
coverage	43.85178744607565
