	/WW03-SB-25-11-04_SC2-NR
summarized	[('XFG* (XFG.X)', 0.6975694382762467), ('BA.2.86* (BA.2.86.X)', 0.29145334011024554), ('Other', 0.0035861628010017154)]
lineages	LF.7-like(1) XFG.3.4.1 QF.1 XFG.3.27 XFG.3.16 XGA
abundances	0.29145334 0.21908447 0.18591249 0.18009998 0.11247250 0.00358616
resid	13.146433399274073
coverage	67.72230211015618
