	/WW01-PL-25-11-11_SC2-NR
summarized	[('BA.2.86* (BA.2.86.X)', 0.9974821638130525)]
lineages	PW.1 PV.3 LF.7.7.1 LF.7.1.8
abundances	0.24937054 0.24937054 0.24937054 0.24937054
resid	5.863615450337145
coverage	27.03742099454904
