	/WV01-SC2-PL-250929-LB-M08760-251009
summarized	[('Delta', 0.9982425794149179)]
lineages	AY.35 AY.47 AY.61 AY.24 AY.9 AY.38 AY.75 AY.58 AY.28 AY.26 AY.71 AY.59 AY.57 AY.66 AY.70 AY.133 AY.27 AY.37 AY.9.2 AY.72 AY.74 AY.75.2 AY.10 AY.75.3 AY.63 AY.24.1 AY.9.2.1 AY.9.2.2 AY.55
abundances	0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216 0.03442216
resid	0.5119199944024188
coverage	6.310403638430927
