	/WW02-PL-25-10-29_SC2-NR
summarized	[('XFG* (XFG.X)', 0.74627674093117), ('Other', 0.2515819799517837)]
lineages	XFG.10.1 XFQ
abundances	0.74627674 0.25158198
resid	7.1570616760368075
coverage	50.55011202889342
