	/WW01-SC2-EN-251015-BC-M08760-251105
summarized	[('XFG* (XFG.X)', 0.7536604771027745), ('Omicron', 0.24433221244389644)]
lineages	XFG.30 XFT XFG.3.11 XFG.4 XFG.28 XFG.10.1 XFG.3.9 XFG.3.24
abundances	0.53714592 0.24433221 0.20095890 0.00862033 0.00295858 0.00152656 0.00124685 0.00120334
resid	16.804513918845295
coverage	78.21623248503495
