	/WW01-SC2-26-017475-EN-26-02-16-RS-SH01109-260304
summarized	[('Other', 0.4236754215994153), ('XFG* (XFG.X)', 0.39999922310191527), ('BA.2.86* (BA.2.86.X)', 0.13087004362091106), ('NB.1.8.1* (NB.1.8.1.X)', 0.04508755239588908)]
lineages	XFG.17.2 NB.1.1 NB.1.4 NT.1 XFG.1.1.1 XFG.1.1 XFG.5.1.5 XFG.5.1 XGT RC.1 RC.3 PQ.2.8.1 PQ.2.8 XFG.24 XFG.18
abundances	0.19999999 0.19755221 0.19755221 0.13087004 0.06732483 0.06732483 0.03092782 0.03092782 0.02857099 0.01127189 0.01127189 0.01127189 0.01127189 0.00176980 0.00172414
resid	6.394881765471099
coverage	38.99274320302311
