	/WW02-SB-25-11-04_SC2-NR
summarized	[('XFG* (XFG.X)', 0.9979471205312757), ('BA.2.86* (BA.2.86.X)', 0.0011178661952579905)]
lineages	XFG.3.4-like XFG-like XFG.7.1.2 LF.7-like(2)
abundances	0.52023619 0.47600156 0.00170937 0.00111787
resid	4.991525177790628
coverage	30.07056148212554
