	/WW01-SB-25-11-18-SC2
summarized	[('XFG* (XFG.X)', 0.9947468574441307)]
lineages	XFG.14.1.2 XFG.3.1.3 XFG.9 XFG.4-like XFG.3 XFG.9.3 XFG.5 XFG.5.1.4 XFG.35
abundances	0.52446216 0.16555700 0.07929120 0.07656580 0.07357633 0.04301080 0.02998095 0.00126904 0.00103359
resid	8.688387237299569
coverage	95.13761161087517
