	/WW01-SC2-SB-25-12-30-BC-SH01109-260112
summarized	"[('XFG* (XFG.X)', 0.7557750966037177), ('Other', 0.23899203651704998)]"
lineages	XFG.3.3.2 XGA XGA.1 XFG.1 XFG.6.11 XFG.6.10 XFG.6.2 XFG.6.9 XFG.3.16 XFG.29 XFG.3.30.1
abundances	0.55542485 0.11949602 0.11949602 0.09958144 0.02423197 0.02423197 0.02423197 0.02423197 0.00146300 0.00136986 0.00100806
resid	13.35686635
coverage	61.44868408
