	/WW01-PL-25-11-16-SC2
summarized	[('XFG* (XFG.X)', 0.9983749357927594)]
lineages	XFG.3-like XFG.6-like XFG-like XFG.3.8 QT.2 XFG.17.3
abundances	0.56162279 0.41694749 0.01642109 0.00123077 0.00112823 0.00102458
resid	6.662284562423247
coverage	67.60191285155335
