	/WW01-EN-25-12-08-SC2
summarized	[('XFG* (XFG.X)', 0.9999997002968262)]
lineages	XFG.5.4.1 XFG.6.3
abundances	0.99882601 0.00117369
resid	1.4730929387071692
coverage	31.284486506370598
