	/WW03-PL-25-10-29_SC2-NR
summarized	[('XFG* (XFG.X)', 0.4723405207785053), ('BA.2.86* (BA.2.86.X)', 0.3106662748746655), ('Other', 0.13759821900490252), ('Omicron', 0.07086748420198631)]
lineages	XFG.10.1 LF.7.1 XFQ XFG.3.26 XER
abundances	0.33669122 0.31066627 0.13759822 0.13564930 0.07086748
resid	13.917446766770265
coverage	79.26295020566498
