	/WW01-SC2-EN-25-12-22-NR-SH01109-260102
summarized	[('XFG* (XFG.X)', 0.9825807420809047)]
lineages	QS.2 XFG.3.26 QF.2.2.1 QF.4 QF.2.2 QF.5 QF.2 QF.6 QF.3 XFG.3.4.1 QF.1 XFG.3.30 XFG.3.18 XFG.3.6 XFG.3.9 XFG.3.20 XFG.3.7 XFG.3.11 XFG.3.23 XFG.3.13 XFG.3.27 XFG.3.8 XFG.3.15 XFG.3.16 XFG.3.24 XFG.3.31 XFG.3.22 XFG.3.30.1 XFG.3.4 XFG.3.32 XFG.3.4.9 XFG.3.4.8 XFG.3.4.6 XFG.3.16.1 XFG.3.4.3 QS.1 XFG.3
abundances	0.09803889 0.09803889 0.06221395 0.06221395 0.06221395 0.06221395 0.06221395 0.06221395 0.06221395 0.06221395 0.06221395 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451 0.00871451
resid	4.811342442776262
coverage	29.000434738989398
