	/WW01-SC2-26-018631-SB-26-02-26-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.9969286029321817)]
lineages	XFG.3.11 XFG.10.5 XFG.3.27 XFG.3.23 XFG.36
abundances	0.42737513 0.35847798 0.10456310 0.10456310 0.00194931
resid	10.156079265677752
coverage	76.58428920175233
