	/WW01-SC2-26-015760-PL-26-01-25-not-clean-Uni-RS-SH01109-260226
summarized	[('XFG* (XFG.X)', 0.6343387725515562), ('NB.1.8.1* (NB.1.8.1.X)', 0.18942410186147532), ('BA.2.86* (BA.2.86.X)', 0.10539532709720364), ('KP.3* (KP.3.X)', 0.06471493189650857)]
lineages	XFG.1.1.1 XFG.6.10 XFG.22.1 XFG.17.2.1 XFG.9.6 QT.3 XFG.3.7 JN.1.11.1 KP.7 KP.3 KP.7.1 KP.3.6 PQ.1.2 PQ.17.2 NB.1.8.1 PQ.48 PQ.44 PQ.1 PQ.39 PQ.17 LP.7 XFG.10.2 XFG.6.9 KP.3.7 NP.2
abundances	0.17315999 0.10809468 0.09722220 0.07861269 0.06599698 0.06370337 0.04023970 0.03095218 0.03095218 0.03095218 0.03095218 0.03095218 0.02367801 0.02367801 0.02367801 0.02367801 0.02367801 0.02367801 0.02367801 0.02367801 0.01253878 0.00520833 0.00210084 0.00163132 0.00117925
resid	10.202771727271553
coverage	63.48192489047921
