	/WW01-SC2-EN-26-03-04-26-019427-JH-SH01109-260312
summarized	[('XFG* (XFG.X)', 0.6057576444212431), ('NB.1.8.1* (NB.1.8.1.X)', 0.27793451461918633), ('Other', 0.09185600282813249), ('BA.2.86* (BA.2.86.X)', 0.016363359240314172)]
lineages	XFG.1.1 XFG.22 PQ.36 PQ.2.8 XFG XFG.5.1 XDV XFG.14.7 PQ.2.5 XFG.5.1.7 XFY.3 NT.1 XFG.14 XFG.19 PQ.2.5.3 XFG.29 XFG.1.1.2 PQ.2.5.5 LF.7.1.5 QA.4
abundances	0.22335482 0.13516323 0.12054390 0.11900600 0.08876325 0.07804464 0.06237663 0.03448280 0.03260572 0.02963930 0.02947937 0.01397485 0.00606689 0.00549451 0.00451147 0.00243902 0.00230918 0.00126743 0.00126743 0.00112108
resid	12.414442463307982
coverage	80.81463398321239
