	/WW01-SC2-PL-26-03-04-26-019422-JH-SH01109-260312
summarized	[('XFG* (XFG.X)', 0.9995199901183394)]
lineages	XFG.6.2 XFG.3.13 XFG.3 XFG.1 XFG.23 XFG.33 XFG
abundances	0.45448727 0.09083879 0.09083879 0.09083879 0.09083879 0.09083879 0.09083879
resid	4.365829370748498
coverage	53.32575326890279
