	/WW03-PL-25-10-28_SC2-NR
summarized	[('BA.2.86* (BA.2.86.X)', 0.9969026652712619)]
lineages	LF.7.6.4
abundances	0.99690267
resid	9.249645643042523
coverage	69.18034979767916
