	/WW01-SC2-SB-26-01-01-BC-SH01109-260112
summarized	[('Other', 0.6251889947672226), ('XFG* (XFG.X)', 0.37363137777297956)]
lineages	XFV XFG.17.2.1 XFG.3.7 XFG.17 XFG.4.1.3 XFV.6
abundances	0.60632109 0.21534300 0.08531700 0.05187439 0.02109699 0.01886790
resid	12.011995516784499
coverage	93.36521419255592
