	/WW01-SC2-SB-26-01-13-BC-SH01109-260123
summarized	[('XFG* (XFG.X)', 0.9962034084284364)]
lineages	XFG.3.16 XFG.3.30.1
abundances	0.95475686 0.04144655
resid	12.869629494956875
coverage	43.728054041400526
