	/WW01-SC2-PL-25-12-08-NR-SH01109-260102
summarized	[('BA.2.86* (BA.2.86.X)', 0.647089491432935), ('Other', 0.23570270443226718), ('KP.3* (KP.3.X)', 0.11638760527352003)]
lineages	XDP JN.1.58 JN.1.58.2 LR.1 LR.2 JN.1.7.7 KP.3.2.9 NV.1 LF.7.1.1 LF.7.2.1 LF.7.1.8 LF.7.1.9 LF.7.1.14 LF.7.1.15 LF.7.1.4 LF.7.1.2 LF.7.5 LF.7.11 LF.7.6 LF.7.3 LF.7.3.2 LF.7.2 LF.7.1 LF.7 LF.7.10 PW.1 LF.7.12 LF.7.1.12 PL.1.2 LF.7.9.2 LF.7.3.3 PC.5 PC.1 PL.1 LF.7.1.7 LF.7.9.4 LF.7.9.5 LF.7.3.4 PC.3.1 LF.7.9 LF.7.6.4 LF.7.6.5 LF.7.3.5 LF.7.3.1 PC.4 PC.3 PC.2 LF.7.1.10 LF.7.4 QR.1 KP.7.1
abundances	0.23570270 0.05819380 0.05819380 0.05819380 0.05819380 0.05819380 0.05819380 0.05819380 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00851459 0.00423720 0.00278524
resid	7.11452832654172
coverage	42.93549142226532
