	/WW01-SC2-26-015212-EN-26-01-22-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.8979007338057767), ('BA.2.86* (BA.2.86.X)', 0.08312654322195989), ('Other', 0.013473485792174325)]
lineages	XFG.1.1 XFG.6 XFG.22 QF.6 XFG.3.4.1 XFG.1.2 XFG.17.2 XFG.8.5 NT.1 NL.14 XGE JN.1.40 JN.1.69 LB.1.2 XDV XFG.6.9 LF.7.9.5 XFG.3.20 LR.3 RN.1 QQ.2
abundances	0.29367998 0.14133429 0.14133429 0.07166444 0.07166444 0.06413504 0.06139760 0.04838710 0.04652826 0.01939053 0.01213744 0.01139316 0.00183824 0.00182148 0.00133604 0.00116414 0.00109890 0.00106723 0.00105597 0.00104491 0.00102728
resid	6.2898589284734605
coverage	60.2682005149985
