	/WW01-EN-25-11-26-SC2
summarized	[('XFG* (XFG.X)', 0.5069761648937884), ('NB.1.8.1* (NB.1.8.1.X)', 0.22975501902832055), ('BA.2.86* (BA.2.86.X)', 0.13084608155331845), ('Other', 0.12801012624205496)]
lineages	XFG.3-like NB.1.8.1-like MD.1.1 XDV.1-like LA.1 PQ.15 XFG.3.1-like
abundances	0.50585385 0.22859493 0.12958026 0.12801013 0.00126582 0.00116009 0.00112231
resid	12.473905744377817
coverage	57.80022071364077
