	/WW01-SC2-EN-26-03-09-26-019430-JH-SH01109-260312
summarized	[('NB.1.8.1* (NB.1.8.1.X)', 0.6330072747376181), ('XFG* (XFG.X)', 0.2447670126233037), ('Other', 0.08279966127331412), ('BA.2.86* (BA.2.86.X)', 0.032821980723619436)]
lineages	PQ.39 PQ.48 XFG.1 XFG.22 XFG.1.1 XGE NT.1 NB.1.6.1 PQ.17.11 XFG.14.1 PQ.2.1.11 PQ.34.1 XFQ
abundances	0.36676093 0.24926829 0.11761439 0.06309462 0.05188479 0.05006559 0.03282198 0.03161061 0.01441276 0.01217322 0.00129017 0.00127513 0.00112346
resid	11.19161941530578
coverage	88.87402601745644
