	/WV01-SC2-EN-251006-LB-M08760-251009
summarized	[('BA.2.86* (BA.2.86.X)', 0.6125234383644447), ('Omicron', 0.23241996080232005), ('XFG* (XFG.X)', 0.08473644404251211), ('Other', 0.05568394894222227)]
lineages	QF.1 JN.1.4.4 JN.1.29.1 JN.1.39.3 JN.1.47.2 JN.1.47.1 JN.1.18.5 JN.1.64.1 JN.1.18.1 JN.1.4.3 JN.1.4.1 JN.1.4.7 JN.1.42.2 JN.1.26 JN.1.42.1 JN.1.32.1 JN.1.58.3 JN.1.58.2 JN.1.58.1 JN.1.12 JN.1.16.2 JN.1.16.3 JN.1.16.1 JN.1.36 JN.1.25.1 JN.1.63.1 JN.1.15.1 JN.1.30.1 JN.1.8.4 JN.1.8.2 JN.1.8.3 JN.1.56.1 JN.1.16.5 NS.1 NS.2 LA.1 JN.1.18.3 LF.9 LF.3 JN.1.18.6 LB.1 JN.1.67.1 JN.1.36.1 JN.1.14 JN.1.13 JN.1.9.1 JN.1.55.2 JN.1.54.1 JN.1.68.1 JN.1.39.2 JN.1.9.2 LR.2 JN.1.43 JN.1.67 JN.1.39 JN.1.60 JN.1.9 JN.1.55 JN.1.52 JN.1.54 JN.1.6 JN.1.30 JN.1.68 JN.1.37 JN.1.48 JN.1.45 JN.1.40 JN.1.69 JN.1.34 JN.1.10 JN.1.21 JN.1.15 JN.1.61 JN.1.64 JN.1.63 JN.1.16 JN.1.56 JN.1.20 JN.1.8 JN.1.35 JN.1.6.1 JN.1.19 JN.1.22 JN.1.25 JN.1.51.1 JN.1.29 JN.1.49.1 JN.1.49.3 JN.1.49.2 JN.1.24.1 JN.1.47 JN.1.44.1 JN.1.46 XDQ JN.1.18 JN.1.4 JN.1.42 JN.1.1 JN.1.32 JN.1.58 LR.1 JN.1.8.1 JN.1.51 JN.1.7.3 MD.1.1 MD.3 MD.2 JN.1.18.4 LQ.2 LQ.1 LE.1.1 JN.1.7.2 JN.1.7.5 JN.1.7.1 JN.1.7.7 JN.1.7.4 LC.1 JN.1.1.5 JN.1.1.9 JN.1.1.10 JN.1.1.4 JN.1.1.1 JN.1.1.2 NS.3 KY.1 NS.1.2 MD.1.2 LS.1 JN.1.18.2 XDQ.3 LK.2 JN.1.7.9 KR.3 JN.1.1.8 NF.1 LB.1.3.5 LB.1.3.2 LB.1.10 LB.1.11.2 LB.1.11.1 LB.1.9 LB.1.7 MZ.2 MZ.5 JN.1.39.1 JN.1.23 LU.2 LF.8 MJ.2.1 JN.1.65 XEB NS.1.1 JN.1.16.4 JN.1.1.6 KQ.1 XDP XDW XDQ.1 XDQ.2 MD.4 MD.1 JN.1.18.9 JN.1.18.7 LQ.3 JN.1.4.6 LE.2 LA.2 LE.1 JN.1.4.8 JN.1.4.5 JN.1.4.9 JN.1.4.2 MS.1 JN.1.62 JN.1.7 JN.1.1.7 JN.1.1.3 XEA JN.1.2.1 JN.1.38.1 MJ.2 LF.9.1 LF.1 LF.5 LF.10 LF.2 LF.4 LY.2 LY.1 LB.1.3 LB.1.4 LB.1.11 LB.1.6 LB.1.8 LB.1.1 JN.1.27 JN.1.55.1 JN.1.48.2 KU.2 KU.1 LF.6 LJ.1 JN.1.59 JN.1.28 XFV.1 BA.2.3.16 BA.2.15 BA.2.19 BA.2.23.1 BA.2.59 BA.2.76 BA.2.79 BA.2.66 BA.2.78 BA.2.3.1 BA.2.3.5 BA.2.3.10 BA.2.7 BA.2.3.11 BA.2.3.9 BA.2.3.2 BA.2.3.13 BA.2.43 BA.2.20 BA.2.54 BA.2.56.1 BA.2.69 BA.2.36 BA.2.81 BA.2.49 BA.2.45 BA.2.9.3 BA.2.3.4 BA.2.3.22 BA.2.70 BA.2.44 BA.2.25.1 BA.2.22 BA.2.42 BA.2.82 BA.2.12.1 BA.2.3.6 BA.2.3.14 BA.2.3.21 BA.2.3.17 BA.2.3.12 BA.2.35 BA.2.46 BA.2.83 BA.2.2 BA.2.47 BA.2.13 BA.2.9.5 BA.2.9 BA.2.6 BA.2.3.8 BA.2.29 BA.2.33 BA.2.11 BA.2.28 BA.2.62 BA.2.63 BA.2.50 BA.2.30 BA.2.41 BA.2.8 BA.2.72 BA.2.1 BA.2.51 BA.2.23 BA.2.24 BA.2.3 BA.2.10 BA.2.27 BA.2.58 BA.2.65 BA.2.5 BA.2.4 BA.2.56 BA.2.61 BA.2.10.3 BA.2.10.2 BA.2.10.1 BA.2.25 BA.2.52 BA.2.71 BA.2.34 BA.2.14 BA.2.55 BA.2.67 BA.2.26 BA.2.32 BA.2.87 BA.2.16 BA.2.18 BA.2.64 BA.2.38 BA.2.57 BA.2.12 BA.2.73 BA.2.68 BA.2.17 BA.2.37 BA.2.85 BA.2.3.7 BA.2.3.15 JN.1.49 JN.13 JN.13.1 MP.1.1 JN.9 JN.16 JN.2 JN.15 JN.11 JN.3 JN.5 JN.18 JN.17 BA.2.86.2 JN.19 JN.6 JN.8 MP.1 JQ.2 JQ.1 JN.4 BA.2.86.7 BA.2.86.5 LV.1 JN.12 JN.10 JN.2.3 JN.2.5 JN.1.24 JN.1.38 JN.1.44 JN.1.3 JN.1.2 JN.2.2.1 JQ.2.1.1 JN.1 JN.2.1 JN.2.2 JN.3.2.1 JN.5.1 JN.3.3 JN.2.4 JN.7 JN.11.1 JN.3.1 JN.3.2 LV.2 JQ.2.1 JN.14 BA.2.86.3 BA.2.86.1 BA.2.79.1 BA.2.38.3 BG.1 XAE BA.2.38.2 BG.3 XT XAD BA.2.38.4 BG.5 XAP BA.2.77 BA.2.38.1 BA.2.86.6 BA.2.3.19 DD.1 BA.2.2.1 BA.2.13.1 BA.2.9.6 BA.2.9.4 BA.2.53 BA.2.80 BA.2.74 BA.2.12.2 BG.6 XAJ BH.1 XG BA.2.86 XV XJ XE XAF XH BG.2 XW XAU XL BG.7 XAM XAC XR XAR XU BG.4 BA.2.9.7 XQ XN XAG LQ.1.1 LQ.1.2 MN.1 PV.2 PC.2.1 XFH.1 QJ.1 XDD.1.1 LF.7.12.1 LF.7.9.2 LF.7.9.3 LF.7.3.3 QR.2 PV.1 PV.3.1 LF.7.6.2 PC.3.3 PC.1 PC.2.3 XFH.2 QA.1 QA.3 QJ.2 NT.3 XDD.2 XDD.1 LF.7.3.2 QC.1 PW.1 PW.3 XFM XFU QC.4 XFG.17 XFG.3 XFG.1 XFG.23 XFG.18 XFG.33 XDR.1.1 XFN.2 XFN.1 PW.2 XFJ QC.5 QC.6 XFG PC.2.1.2 NT.2.1 XDD.1.1.1 XFN LF.7.9.4 LF.7.6.1 XFJ.3 NT.1 QV.1 PC.4 PC.3 PC.2 QD.1 LF.7.1.3 LF.7.1.6 LF.7.1.5 QB.1 NT.4 XDR.1 LF.7.3.4 XDS MV.1.3.2 LF.7.12 LF.7.6.3 LF.7.4 LF.7.10 LF.7.7.2 LF.7.7.1 LF.7.2.2 LF.7.2.1 QV.2 LF.7.10.2 LF.7.8 LF.7.3.1 LF.7.10.1 XFR PV.3 PC.4.1 PC.3.1 PC.3.2 XFH QA.7 QA.6 QA.2 QA.5 PZ.1 NT.5 NT.2 XDD PS.2 LF.7.9 LF.7.6.4 LF.7.6.5 LF.7.3.6 LF.7.3.5 XFJ.2 XFJ.9 LH.3 XFG.3.4 XFG.3.4.6 XFG.3.1.7 QK.3 XFQ XFG.23.1.1 XFT.1 XFC.1.1 XFJ.1.1 XFJ.4.1 QC.2.3 XFG.3.16 XFC.1.7 XFG.3.3.1 XFG.3.8.1 XFG.3.1.5 XFG.3.1.1 XFG.3.1.6 XFG.3.1.3 XFG.3.1.2 XFG.32 XFG.23.1.2 XFC.1.4 XFG.3.4.9 XFG.3.4.2 XFG.3.4.8 XFG.17.2 XFZ QQ.1 QS.1 QS.2 XFG.3.4.4 XFV.2 XFG.3.12.1 QK.2 XGA XFG.17.2.1 QT.3 QT.2 XFG.3.4.3 XFG.3.4.1 XFG.3.4.7 XFV XFG.3.1.4 QK.1 QK.4 XFC.3.2 XFC.1.1.1 XFC.1.8 XFC.1.9 XFJ.5 XFG.3.21 XFJ.3.1 XFJ.8 XFJ.2.1 QC.2 QC.3 QC.4.1 XFG.17.4 XFG.19 XFG.3.20 XFG.3.8 XFG.3.2 XFC.1.2 XFG.3.17 XFG.3.19 XFG.18.1 XFG.24 XFG.16 XDZ XFC XFJ.6 XFJ.1 XFJ.7 XFJ.4 XFC.1 XFC.2 XFC.3 XFC.1.5 XFJ.1.2 XFJ.2.2 XFG.17.3 XFG.17.1 XFG.3.22 XFG.3.15 XFG.3.6 XFG.3.9 XFG.3.14 XFG.3.24 XFG.3.7 XFG.3.11 XFG.3.23 XFG.3.10 XFG.3.3 XFG.3.12 XFG.3.1 XFG.3.13 XFG.23.1 XFT LF.7.1.13 LF.7.1.8 LF.7.1.9 JN.1.7.6 LF.8.1.1 MJ.2.1.1 XDP.1 LZ.2.1 LZ.2.2 MD.3.1 LE.1.3 LK.1 JN.1.7.8 LK.2.1 KR.1.1 LB.1.4.3 KR.1.4 KR.1.2 KR.4.1 NF.1.5 NF.1.4 MT.1.1 LF.3.1.2 LF.1.1 LF.4.1 NZ.1 ME.1 LD.1 JN.1.48.3 KS.2 LZ.1 MD.3.1.4 MD.3.1.3 MD.3.1.1 NF.1.3 NF.1.2 MA.1.1 MA.1.2 LF.3.1.1 NL.22 NL.19 NL.23 NL.8 NL.12 NL.18 NL.11 NL.10 XEF.3 XEF.2 XEF.1 KS.1.1.1 LB.1.3.1 XEF LF.7.1.11 LB.1.7.2 MT.1 MB.1 MA.1 LF.3.1 LB.1.3.4 MH.1 LB.1.3.3 LB.1.4.1 LB.1.5 LB.1.7.4 LB.1.7.3 MZ.1 MZ.4 MZ.3 KS.1 NU.1 LU.2.2 LU.2.1 JN.1.50 JN.1.66 XDP.3 XDQ.1.1 NF.1.1 KR.5 LT.1 KR.4 KS.1.1 KS.1.2 KS.1.3 JN.1.13.1 JN.1.48.1 KU.2.1 KU.2.2 LM.1 JN.1.50.1 JN.1.50.2 LF.8.1 MJ.1 LZ.3 LZ.2 LZ.4 LH.2 LH.1 LQ.1.1.1 KV.1 LL.1 KR.1 LZ.2.1.1 LZ.2.1.2 JN.1.65.1 MV.1.7 NL.5.2.1 MF.1 LE.1.3.1 XDK.1 XDK.4.1 XDR XFW.1 MV.1.5 MV.1.8 MV.1.1 MV.3 MJ.1.1 NL.15 NL.4.1.1 PK.1.1 MQ.2 XDK.6 XDK.5 XDK.2 XDK.3 XFW MV.1 NL.3.1 NL.2.1 NA.2 MV.1.3 LF.7.1.14 LF.7.1.4 LF.7.1.2 LF.7.1.1 LF.7.6 LF.7.3 LF.7.7 LF.7.5 LF.7.2 LF.7.1 NC.1.2.1 NC.1.2.2 XEM MV.1.9 MV.1.1.1 LF.7 ND.1.1.3 XDK.1.1 XDK.1.2 XFW.1.1 MV.1.2 MV.2 XER NL.1.1 MF.2 XED KR.1.3 XDK MB.1.1 MA.1.1.1 NL.21 NL.6 NL.1 NL.17 NL.4 NL.5 LB.1.4.2 MZ.4.1 KS.1.1.3 NC.1 KS.1.4 JN.1.23.1 LU.2.1.1 ND.3 ND.2 ND.1 LZ.1.1 ND.1.1 NL.2 ND.2.1 XFF.1 NC.1.2 LD.1.1 PK.1 ND.1.1.1 XDK.4 MB.1.1.1 MB.1.1.3 MB.1.1.2 NL.20 NL.8.1 NL.7 NL.14 NL.3 NL.4.2 NL.4.1 NL.5.1 NL.5.2 XFF NC.1.1 NC.2 BA.2
abundances	0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052 0.00121052
resid	0.0269856919145848
coverage	8.407183225763301
