	/WW01-SC2-EN-26-01-20-BC-SH01109-260123
summarized	[('XFG* (XFG.X)', 0.9954494731556818)]
lineages	XFG.14 QS.2 XFG.3.17 XFG.3
abundances	0.44903674 0.30277820 0.12181727 0.12181727
resid	13.363566722821723
coverage	83.94475470688559
