	/WW01-SC2-EN-26-02-04-NR-SH01109-260223
summarized	[('XFG* (XFG.X)', 0.8446027490584985), ('Other', 0.1527844207321641)]
lineages	XFG.2.5.1 XFG.14 XFZ XFG.6.2 XFG.3.26 XFG.1.1.1 XFY.3 QT.3 XFG.14.1.3 XFG.3.1.9
abundances	0.38016500 0.20347136 0.09638843 0.08824993 0.07269140 0.06209570 0.05639599 0.03441854 0.00243902 0.00107181
resid	8.657518602904663
coverage	65.27773133130455
