	/WW01-SC2-26-017992-PL-26-02-15-not-clean-Uni-RS-SH01109-260226
summarized	[('XFG* (XFG.X)', 0.8494409429077276), ('BA.2.86* (BA.2.86.X)', 0.14999988519037286)]
lineages	NT.1 XFG.1.1.1 XFG.1.1 XFG.6.8 XFG.6.10 XFG.6.9 XFG.22.3 XFG.6 XFG.5 XFG.11 XFG.22 XFG.26 XFG.30 XFG.17 XFG.1 XFG
abundances	0.14999989 0.07936499 0.07936499 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.06666667 0.00801476 0.00801476 0.00801476
resid	4.008432346524198
coverage	29.772932481690802
