	/WW01-SC2-26-018625-EN-26-02-24-RS-SH01109-260304
summarized	[('Other', 0.5384945572436682), ('NB.1.8.1* (NB.1.8.1.X)', 0.24846483928162727), ('XFG* (XFG.X)', 0.20712463529185468)]
lineages	XGE PQ.2.8 XFG.3.3.3 NB.1.6.1 NB.1.6 XFG.2.5.1 XDK.1.1 XFG.1.2
abundances	0.25553284 0.24846484 0.14354710 0.12997006 0.12997006 0.05942816 0.02302160 0.00414938
resid	13.581714254976074
coverage	76.3602314149082
