	/WW01-SC2-EN-26-02-06-NR-SH01109-260223
summarized	[('XFG* (XFG.X)', 0.6595966162224449), ('BA.2.86* (BA.2.86.X)', 0.24035238459770378), ('NB.1.8.1* (NB.1.8.1.X)', 0.05556434693194731), ('Other', 0.03230966481147417)]
lineages	XFG.3.4.3 XFG.14.1.2 JN.1.16.5 XFG.1.1 XFG.9.6 XFG.23 PQ.2.8 JN.11 XFG.22 XFV.5 LP.8 XFG.23.1.1 XDV.1.5.1 XFG.2.9 XFG.14.1.1 JN.1.47.1 RB.2
abundances	0.21779553 0.19301929 0.17908624 0.06821187 0.06129874 0.05886869 0.05556435 0.05257327 0.04604526 0.02861278 0.00727645 0.00725720 0.00369689 0.00341880 0.00247934 0.00141643 0.00120191
resid	9.48667643122291
coverage	75.36702003143498
