	/WW01-EN-25-10-30_SC2-NR
summarized	[('XFG* (XFG.X)', 0.992646281591258)]
lineages	XFG-like(1) XFG.3-like XFG.14
abundances	0.39802932 0.36715138 0.22746558
resid	7.42191446572059
coverage	65.02692037588201
