	/WV01-SC2-EN-250922-LB-M08783-251003-M08783-251003
summarized	[('Omicron', 0.9976036744119868)]
lineages	XP BA.1.1.3 BA.1.22 BA.1.24 BA.1.17.2 BA.1.17.1 BA.1.14.2 BA.1.14.1 BA.1.3 BA.1.1 BA.1.19 BA.1.18 BA.1.17 BA.1.16 BA.1.13 BA.1.14 BA.1.9 BA.1.5 BA.1.6 BA.1.10 BA.1 BA.1.20 BA.1.2 BA.1.1.1 BA.1.1.9 BC.2 BC.1 BA.1.1.16 BA.1.1.5 BA.1.1.17 BA.1.15.1 BA.1.1.4 BA.1.1.2 BA.1.1.7 BA.1.15 BA.1.1.10 BA.1.1.15 BA.1.1.8 BA.1.1.12 BA.1.1.11 BA.1.1.6 BA.1.1.13 BA.1.8 B.1.1.529
abundances	0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281 0.02267281
resid	0.12313596849806538
coverage	11.871718556666556
