	/WW02-PL-25-11-19-SC2
summarized	[('XFG* (XFG.X)', 0.9988750994082204)]
lineages	XFG.10 XFG.23 XFG.2 XFG.3.4.3
abundances	0.64102600 0.19378700 0.08713900 0.07692310
resid	12.387264024870344
coverage	80.8280105675016
