	/WW01-SC2-PL-251019-BC-M08760-251105
summarized	[('XFG* (XFG.X)', 0.9977274980710967)]
lineages	XFG.9.5
abundances	0.99772750
resid	11.462287296712024
coverage	61.76637795538909
