	/WW02-EN-25-10-31_SC2-NR
summarized	[('XFG* (XFG.X)', 0.8874202403527378), ('Other', 0.11197505024245198)]
lineages	XFG.4-like XFG.14.1.2 XFG.3-like XGF XFG.3.5-like XFG.29 XFG.3.27.1
abundances	0.35747392 0.35364392 0.17102405 0.11197505 0.00273883 0.00127853 0.00126099
resid	7.9046536376293375
coverage	64.15075410493931
