	/WW01-EN-25-12-02-SC2
summarized	[('XFG* (XFG.X)', 0.9964724252803067), ('BA.2.86* (BA.2.86.X)', 0.00120191949389978)]
lineages	XFG-like XFG.3.1-like XFG.9.4.1 MD.1.2
abundances	0.99246934 0.00276241 0.00124068 0.00120192
resid	12.73482967064933
coverage	54.76708022606427
