	/WW02-EN-25-10-29_SC2-NR
summarized	[('XFG* (XFG.X)', 0.679975304095494), ('LP.8.1* (LP.8.1.X)', 0.31920907274148425)]
lineages	XFG-like NY.7.1.2 LP.8.1.12 LP.8.1.8-like XFG.3.5 XFG.3.29 PF.3-like
abundances	0.67750162 0.29809500 0.01799615 0.00204497 0.00137361 0.00110007 0.00107295
resid	12.706808646711877
coverage	51.8743938735244
