	/WW01-SC2-PL-25-12-21-BC-SH01109-260112
summarized	[('XFG* (XFG.X)', 0.9917089797246517)]
lineages	XFG.19 XFG.24 XFG.33 XFG.18 XFG.23 XFG.1 XFG.17 XFG.3 XFG XFG.3.19 XFG.3.21 XFG.3.20 XFG.37 XFG.17.1 XFG.3.17 XFG.3.23 XFG.13
abundances	0.06594064 0.06594064 0.06594064 0.06594064 0.06594064 0.06594064 0.06594064 0.06594064 0.06594064 0.06594064 0.06594064 0.06594064 0.06594064 0.06594064 0.06594064 0.00146938 0.00112994
resid	4.571181032206716
coverage	38.9526134501555
