	/WW02-SC2-EN-25-11-11-NR-M08783-251124
summarized	[('XFG* (XFG.X)', 0.9945641925012363)]
lineages	XFG.9.6 XFG.14 XFG.21 XFG.1 XFG.3 XFG.3.2 XFG.29 XFG.36 XFG.30 XFG.6 XFG.10 XFG.22 XFG.11 XFG.7 XFG.9 XFG.3.17 XFG.3.13 XFG.10.4 XFG.10.3 XFG.10.2 XFG.9.3 XFG
abundances	0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746 0.04520746
resid	6.150019833677326
coverage	33.163896599003444
