	/WW01-SC2-26-017990-SB-26-02-19-not-clean-Uni-RS-SH01109-260226
summarized	[('BA.2.86* (BA.2.86.X)', 0.5743769152784183), ('Other', 0.4144259609662094), ('XFG* (XFG.X)', 0.007367689343423373)]
lineages	LF.7.7.2 XFZ NB.1.6.1 XFG.3.16 XFG.19 XFZ.1
abundances	0.57437692 0.32491992 0.08833642 0.00531430 0.00205339 0.00116963
resid	14.133812327034974
coverage	74.92224860381901
