	/WW03-EN-25-10-29_SC2-NR
summarized	[('XFG* (XFG.X)', 0.7562338679758396), ('LP.8.1* (LP.8.1.X)', 0.238531961798432)]
lineages	XFG-like NY.7.1.2
abundances	0.75623387 0.23853196
resid	14.758620298915112
coverage	74.68481423268568
