	/WW01-SC2-SB-251019-BC-M08760-251105
summarized	[('XFG* (XFG.X)', 0.9963589619134509)]
lineages	XFG.14 XFG.2.2 XFG.2 XFG.4.5 XFG.4.2 XFG.4 XFG.28 XFG.6 XFG.34 XFG.19 XFG.1 XFG.21 XFG XFG.17.1
abundances	0.38311699 0.15066852 0.15066848 0.07122883 0.07122883 0.07122883 0.01387213 0.01387213 0.01387213 0.01387213 0.01387213 0.01387213 0.01387213 0.00111359
resid	5.666003778508164
coverage	64.9834464769421
