	/WW01-SC2-SB-251014-BC-M08760-251105
summarized	[('XFG* (XFG.X)', 0.9966087793239045)]
lineages	XFG.6 XFG.5.1.4 XFG.14
abundances	0.48867781 0.29175300 0.21617797
resid	7.738093509404214
coverage	81.11560712971942
