	/WW01-SC2-PL-26-03-01-26-019419-JH-SH01109-260312
summarized	[('XFG* (XFG.X)', 0.8343521309134738), ('Other', 0.16564715254732698)]
lineages	XFG.3.16.1 XFG.3.16 XGF QS.1 XFG.3.13.2
abundances	0.39779848 0.39779848 0.16564715 0.03773580 0.00101936
resid	5.750304295903714
coverage	16.971541316924725
