	/WW01-SC2-SB-26-02-10-NR-SH01109-260223
summarized	[('XFG* (XFG.X)', 0.9955278258543466)]
lineages	XFG.1.1 XFG.14.1.2 XFG.3.4 XFG XFG.3.12 XFG.14.9
abundances	0.73529400 0.17559469 0.03907963 0.03007985 0.01437470 0.00110497
resid	5.842318670275532
coverage	80.50362839848844
