	/WW01-SC2-SB-25-12-16-NR-SH01109-260102
summarized	[('Other', 0.7818364417808249), ('XFG* (XFG.X)', 0.1890711061191912), ('BA.2.86* (BA.2.86.X)', 0.022484297714477932)]
lineages	XFY XFG.3.12 XFG.6 XFG.10 XFG.5 XFG.31 XFG.4 XFG.11 XFG.34 XFG.30 XFG.36 XFG.29 XFG.12 XFG.3.20 XFG.16 XFG.3 XFG.17 XFG.1 XFG.21 XFG.23 XFG.33 XFG QR.2 LF.7.10.1 PV.3 LF.7.6.4 LF.7.7.1 XFG.23.1 XFG.3.23 XFG.10.4 XFG.10.3 XFG.13 XFG.3.6.2 XFG.5.2.4 XFG.5.2.2 XFG.5.1 XFG.39 XFG.4.1.3 XFG.3.32 XFG.23.1.2 XFG.10.5 XFG.10.2 XFG.10.1 LF.7.1.8 XFG.3.11 XFG.5.2 XFG.4.1 XFG.4.4 XFG.3.31 XFG.3.2 XFG.3.24 XFG.3.5 XFG.3.27 XFG.3.18 XFG.3.6 XFG.3.9 XFG.3.30 XFG.4.1.5
abundances	0.78183644 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00374738 0.00170196
resid	1.2704813767800762
coverage	24.609570946058923
