	/WW01-SC2-EN-26-01-05-BC-SH01109-260112
summarized	[('BA.2.86* (BA.2.86.X)', 0.9241792162548153), ('XFG* (XFG.X)', 0.04843808172160057), ('Omicron', 0.02090917335695685)]
lineages	LF.7.1.8 LR.2 LR.1 JN.1.58.2 XFG.2 XFS XFG.2.12 LZ.5
abundances	0.68106153 0.08055428 0.08055428 0.08055428 0.04605144 0.02090917 0.00238664 0.00145486
resid	16.855666597800507
coverage	82.91810186268937
