	/WW01-SC2-SB-25-12-09-NR-SH01109-260102
summarized	[('Omicron', 0.9795159644137778), ('Other', 0.0174913565073889)]
lineages	XK BA.1.8 BA.1.23 BA.1.1.1 BA.1.2 BA.1.20 BA.1.22 BA.1.24 BA.1.17.2 BA.1.17.1 BA.1.14.2 BA.1.14.1 BA.1.3 BA.1.21.1 BA.1.1 BA.1.12 BA.1.19 BA.1.17 BA.1.16 BA.1.13 BA.1.14 BA.1.9 BA.1.21 BA.1.5 BA.1.6 BA.1.4 BA.1.7 BA.1.13.1 BA.1.1.18 XAL BA.1.1.13 XAQ XM XV XJ XE XY XF XP BA.1.1.16 BA.1.1.5 BA.1.1.17 BA.1.1.3 BC.2 BC.1 BD.1 BA.1.16.2 BA.1.1.2 BA.1.1.9 BA.1.1.7 BA.1.1.10 BA.1.1.15 BA.1.1.8 BA.1.1.12 BA.1.1.11 BA.1.1.6 BA.1
abundances	0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136 0.01749136
resid	0.09892351058756257
coverage	4.561415242617797
