	/WW01-SC2-SB-26-02-12-NR-SH01109-260223
summarized	[('Other', 0.4953754532626041), ('XFG* (XFG.X)', 0.32907183378613253), ('BA.2.86* (BA.2.86.X)', 0.16887092582121527)]
lineages	XFZ XFG.14.1 XFG.33 QR.2 LF.7 XGB XFG QT.3 XFG.6.2.2
abundances	0.41237205 0.15712844 0.12087900 0.08482096 0.08404996 0.08300340 0.02919865 0.01959302 0.00227273
resid	10.121012871884627
coverage	81.01862689362271
