	/WW02-SC2-EN-25-11-13-NR-M08783-251124
summarized	[('BA.2.86* (BA.2.86.X)', 0.5482791868883072), ('XFG* (XFG.X)', 0.446011345084765)]
lineages	MD.1.1 QT.3 LB.1.6
abundances	0.52867204 0.44601135 0.01960715
resid	7.911879993155084
coverage	48.132294418620205
