	/WW01-SC2-PL-26-02-04-NR-SH01109-260223
summarized	[('XFG* (XFG.X)', 0.9616357266743646), ('BA.2.86* (BA.2.86.X)', 0.02752303647988179), ('Other', 0.0021910859109346096)]
lineages	XFG.1.1.1 XFG.3.11 XFG.9.4.1 XFG.9 XFG.15 XFG.2.12 XFG.1 XFG LF.7.3 LF.7.9 LF.7.9.4 LF.7 XFG.6.1 XFG.22 XFG.6.8 XFG.6 XFG.14 XFG.34 XDV
abundances	0.28799999 0.25855104 0.16469387 0.14780608 0.04153525 0.01176470 0.01031181 0.01031181 0.00688076 0.00688076 0.00688076 0.00688076 0.00653594 0.00526090 0.00526090 0.00526090 0.00385186 0.00249066 0.00219109
resid	10.314894749067523
coverage	80.14246062268
