	/WW01-SC2-EN-26-03-05-26-019428-JH-SH01109-260312
summarized	[('XFG* (XFG.X)', 0.5137096015873763), ('BA.2.86* (BA.2.86.X)', 0.34153276501951785), ('Other', 0.1423499625374305), ('Omicron', 0.0013175113660663996)]
lineages	XFG.2.9 XFG.5.1.7 JN.14 BA.2.86.1 NB.1.7 NS.3 XDV.1.5.1 XFG.2.13 XFG.5.1 XFG.5.1.5 XFG.5.1.6 XEL.1
abundances	0.25210304 0.22343349 0.18232000 0.12792995 0.11522996 0.03128282 0.02712000 0.02629457 0.00395950 0.00395950 0.00395950 0.00131751
resid	10.481333247286127
coverage	57.194930274554395
