	/WW01-SB-25-11-13_SC2-NR
summarized	[('Omicron', 0.9884716059148941)]
lineages	XFC.1.1.1 XFT XFS XFM XFC XFC.1 XFC.2 XFC.3 XFC.1.5 XFC.1.3 XFC.1.2 XFC.1.6 XFC.1.7 XFC.1.8 XFC.1.4 XFC.1.1 XFR
abundances	0.05814539 0.05814539 0.05814539 0.05814539 0.05814539 0.05814539 0.05814539 0.05814539 0.05814539 0.05814539 0.05814539 0.05814539 0.05814539 0.05814539 0.05814539 0.05814539 0.05814539
resid	2.7706820410197506
coverage	11.52392736514731
