	/WW01-SC2-EN-101025-SDC-M08760-251021
summarized	[('XFG* (XFG.X)', 0.9177776589354255), ('NB.1.8.1* (NB.1.8.1.X)', 0.07487197922168852)]
lineages	XFG.12 XFG.3.9 XFG.14 XFG.1 PQ.19 XFG
abundances	0.30322602 0.26246636 0.14510795 0.13212199 0.07487198 0.07485535
resid	23.758785658089035
coverage	94.90017723974184
