	/WW01-SC2-SB-25-12-14-NR-SH01109-260102
summarized	[('BA.2.86* (BA.2.86.X)', 0.9919665976905528)]
lineages	QA.3 NL.6 NL.6.1
abundances	0.54672700 0.22261980 0.22261980
resid	2.7449213970186057
coverage	13.476908671370765
