	/WW01-SC2-26-018634-PL-26-02-24-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.9771662747798197), ('Omicron', 0.0027717692504503457), ('NB.1.8.1* (NB.1.8.1.X)', 0.0025107122809681294), ('KP.3* (KP.3.X)', 0.001699411497308004)]
lineages	XFG.1.1.1 XFG.1.1 XFC.1.2 PQ.22 XFG.3.18 KP.3.6 XFG.15
abundances	0.83737280 0.13688461 0.00277177 0.00251071 0.00176250 0.00169941 0.00114637
resid	10.649739547963252
coverage	98.34464769421129
