	/WW01-PL-25-12-03-SC2
summarized	[('XFG* (XFG.X)', 0.9999999149931231)]
lineages	XFG.3-like XFG.3.17
abundances	0.99861774 0.00138217
resid	3.640375431046437
coverage	57.83366217436377
