	/WW01-EN-25-10-27_SC2-NR
summarized	[('XEC* (XEC.X)', 0.7307611796454541), ('XFG* (XFG.X)', 0.2662540699958482)]
lineages	XEC.2.3-like XFG.15 XEC.2.4
abundances	0.68131699 0.26625407 0.04944419
resid	7.00854645120692
coverage	32.495067384543354
