	/WW01-SB-25-11-02_SC2-NR
summarized	[('XFG* (XFG.X)', 0.9994614412077779)]
lineages	XFG-like XFG.3.27.1
abundances	0.99795542 0.00150602
resid	1.8674802868753162
coverage	13.89827107648062
