	/WW02-SC2-EN-25-11-12-NR-M08783-251124
summarized	[('XFG* (XFG.X)', 0.6768860399094799), ('BA.2.86* (BA.2.86.X)', 0.31988843093548064)]
lineages	LF.7.9.3 XFG.5.1.3 XFG.5.1 XFG.5.1.5 XFG.5.1.4 XFG.5.1.2 XFG.5.1.6
abundances	0.31988843 0.28035603 0.07930600 0.07930600 0.07930600 0.07930600 0.07930600
resid	6.729927193152092
coverage	31.130655787044777
