	/WW02-SC2-26-017471-EN-26-02-10-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.6556314940439718), ('NB.1.8.1* (NB.1.8.1.X)', 0.23006446498944394), ('Other', 0.07302752245510996), ('BA.2.86* (BA.2.86.X)', 0.03904092744220369)]
lineages	XFG.3 PQ.17.10 XFG.1.1.1 XFG.1.1 XFG.14.1.2 XDR RN.1 XFG.14.6 PQ.2.8.1 RC.2 RC.1 PQ.2.8 NT.1 PQ.38 XFG.5.3 BA.2.86.2 BA.2.86 NB.1 NB.1.5 XFG.3.30 XFG.3.11 XFG.3.23 XFG.3.12 XFG.3.13.1 XFG.3.17
abundances	0.29330035 0.08849531 0.08685444 0.08685444 0.06027356 0.05874762 0.05508185 0.03846147 0.03181817 0.03181817 0.03181817 0.03181817 0.01947673 0.01429649 0.01319799 0.00978210 0.00978210 0.00713995 0.00713995 0.00391172 0.00391172 0.00391172 0.00391172 0.00362965 0.00233087
resid	7.472780783469735
coverage	57.285222218506505
